var,crop_type,2019_initial,2019_manual,2020_initial,2020_manual
coh,apple,5.9,5.9,5.9,5.9
coh,cereals,5.1,5.1,4.58,5.62
coh,potato,2.67,2.67,2.84,2.84
coh,sugarbeet,2.84,2.84,4.2,4.2
coh,wheeltracks,7.85,7.85,7.85,7.85
d50,apple,50,50,50,50
d50,cereals,50,50,50,50
d50,potato,50,50,50,50
d50,sugarbeet,50,50,50,50
d50,wheeltracks,50,50,50,50
ksat1,apple,35,10.5,35,5.25
ksat1,cereals,15,4.5,15,2.55
ksat1,potato,4.7,0.7,4.7,1.27
ksat1,sugarbeet,4.7,1.41,4.7,0.8
ksat1,wheeltracks,0.3,0.04,0.3,0.08
n,apple,0.07,0.06,0.07,0.06
n,cereals,0.42,0.33,0.11,0.14
n,potato,0.01,0.01,0.02,0.01
n,sugarbeet,0.03,0.02,0.2,0.17
n,wheeltracks,0.01,0.01,0,0.01
psi1,apple,11,2.2,11,1.1
psi1,cereals,11,2.2,11,1.32
psi1,potato,11,2.2,11,1.65
psi1,sugarbeet,11,2.2,11,1.32
psi1,wheeltracks,11,2.2,11,1.65
thetai1,apple,0.23,0.29,0.1,0.13
thetai1,cereals,0.23,0.29,0.1,0.13
thetai1,potato,0.23,0.29,0.1,0.13
thetai1,sugarbeet,0.23,0.29,0.1,0.13
thetai1,wheeltracks,0.23,0.29,0.1,0.13
